index,first_name,last_name,date_of_birth,age,graduation_year,age_group,primary_position,secondary_position,bats,throws,height,weight_lbs,team,jersey_bib_number,organization,player_email,guardian_name,guardian_email,guardian_phone,city,state,consent_status,event_name,event_group,notes
1,Mason,Carter,2018-04-06,8,2036,8U,SS,3B,L,R,5-4,95,Midwest Tamaraws,001,PBG Midwest,qa.young01@example.com,Test Guardian YOUNG 01,qa.guardian.young01@example.com,312-555-0001,Chicago,IL,Approved,2026 PBG Midwest Evaluation,2036,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
2,Elijah,Brooks,2017-07-11,8,2036,8U,2B,OF,S,R,5-4,107,Chicago Islanders,002,PBG Midwest,qa.young02@example.com,Test Guardian YOUNG 02,qa.guardian.young02@example.com,312-555-0002,Skokie,IL,Approved,2026 PBG Midwest Evaluation,2036,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
3,Noah,Bennett,2018-10-16,8,2036,8U,3B,C,R,R,5-6,98,Skokie Sluggers,003,PBG Midwest,qa.young03@example.com,Test Guardian YOUNG 03,qa.guardian.young03@example.com,312-555-0003,Evanston,IL,Approved,2026 PBG Midwest Evaluation,2036,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
4,Lucas,Rivera,2017-01-21,8,2036,8U,OF,P,L,R,5-6,109,Lake County Eagles,004,PBG Midwest,qa.young04@example.com,Test Guardian YOUNG 04,qa.guardian.young04@example.com,312-555-0004,Des Plaines,IL,Approved,2026 PBG Midwest Evaluation,2036,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
5,Aiden,Thompson,2017-04-26,9,2035,9U,C,1B,S,R,5-2,106,Des Plaines Dragons,005,PBG Midwest,qa.young05@example.com,Test Guardian YOUNG 05,qa.guardian.young05@example.com,312-555-0005,Niles,IL,Approved,2026 PBG Midwest Evaluation,2035,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
6,Mateo,Collins,2016-07-04,9,2035,9U,P,SS,R,R,5-4,121,Chicago Select,006,PBG Midwest,qa.young06@example.com,Test Guardian YOUNG 06,qa.guardian.young06@example.com,312-555-0006,Glenview,IL,Approved,2026 PBG Midwest Evaluation,2035,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
7,Jackson,Reed,2017-10-09,9,2035,9U,1B,2B,L,L,5-5,101,North Shore Elite,007,PBG Midwest,qa.young07@example.com,Test Guardian YOUNG 07,qa.guardian.young07@example.com,312-555-0007,Park Ridge,IL,Approved,2026 PBG Midwest Evaluation,2035,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
8,Liam,Parker,2016-01-14,9,2035,9U,SS,3B,S,R,5-5,114,Lakefront Legends,008,PBG Midwest,qa.young08@example.com,Test Guardian YOUNG 08,qa.guardian.young08@example.com,312-555-0008,Morton Grove,IL,Approved,2026 PBG Midwest Evaluation,2035,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
9,Isaiah,Morgan,2016-04-19,10,2034,10U,2B,OF,R,R,5-8,112,Midwest Tamaraws,009,PBG Midwest,qa.young09@example.com,Test Guardian YOUNG 09,qa.guardian.young09@example.com,312-555-0009,Chicago,IL,Approved,2026 PBG Midwest Evaluation,2034,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
10,Logan,Price,2015-07-24,10,2034,10U,3B,C,L,R,5-8,111,Chicago Islanders,010,PBG Midwest,qa.young10@example.com,Test Guardian YOUNG 10,qa.guardian.young10@example.com,312-555-0010,Skokie,IL,Approved,2026 PBG Midwest Evaluation,2034,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
11,Gabriel,Torres,2016-10-02,10,2034,10U,OF,P,S,R,5-3,126,Skokie Sluggers,011,PBG Midwest,qa.young11@example.com,Test Guardian YOUNG 11,qa.guardian.young11@example.com,312-555-0011,Evanston,IL,Approved,2026 PBG Midwest Evaluation,2034,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
12,Owen,Kim,2015-01-07,10,2034,10U,C,1B,R,R,5-5,124,Lake County Eagles,012,PBG Midwest,qa.young12@example.com,Test Guardian YOUNG 12,qa.guardian.young12@example.com,312-555-0012,Des Plaines,IL,Approved,2026 PBG Midwest Evaluation,2034,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
13,Xavier,Coleman,2015-04-12,11,2033,11U,P,SS,L,R,5-4,132,Des Plaines Dragons,013,PBG Midwest,qa.young13@example.com,Test Guardian YOUNG 13,qa.guardian.young13@example.com,312-555-0013,Niles,IL,Approved,2026 PBG Midwest Evaluation,2033,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
14,Miles,Griffin,2014-07-17,11,2033,11U,1B,2B,S,L,5-7,133,Chicago Select,014,PBG Midwest,qa.young14@example.com,Test Guardian YOUNG 14,qa.guardian.young14@example.com,312-555-0014,Glenview,IL,Approved,2026 PBG Midwest Evaluation,2033,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
15,Anthony,Ramirez,2015-10-22,11,2033,11U,SS,3B,R,R,5-10,120,North Shore Elite,015,PBG Midwest,qa.young15@example.com,Test Guardian YOUNG 15,qa.guardian.young15@example.com,312-555-0015,Park Ridge,IL,Approved,2026 PBG Midwest Evaluation,2033,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
16,Sebastian,Cruz,2014-01-27,11,2033,11U,2B,OF,L,R,5-9,129,Lakefront Legends,016,PBG Midwest,qa.young16@example.com,Test Guardian YOUNG 16,qa.guardian.young16@example.com,312-555-0016,Morton Grove,IL,Approved,2026 PBG Midwest Evaluation,2033,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
17,Jordan,Evans,2014-04-05,12,2032,12U,3B,C,S,R,5-11,128,Midwest Tamaraws,017,PBG Midwest,qa.young17@example.com,Test Guardian YOUNG 17,qa.guardian.young17@example.com,312-555-0017,Chicago,IL,Approved,2026 PBG Midwest Evaluation,2032,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
18,Micah,Turner,2013-07-10,12,2032,12U,OF,P,R,R,5-5,142,Chicago Islanders,018,PBG Midwest,qa.young18@example.com,Test Guardian YOUNG 18,qa.guardian.young18@example.com,312-555-0018,Skokie,IL,Approved,2026 PBG Midwest Evaluation,2032,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
19,Leo,Martinez,2014-10-15,12,2032,12U,C,1B,L,R,5-7,126,Skokie Sluggers,019,PBG Midwest,qa.young19@example.com,Test Guardian YOUNG 19,qa.guardian.young19@example.com,312-555-0019,Evanston,IL,Approved,2026 PBG Midwest Evaluation,2032,FICTIONAL QA/DEMO ATHLETE — NOT A REAL PERSON
